template,sentence
adv_clause,"After the incident, a system didn’t give any mind."
complex,"Although it was late, a system didn’t give any mind."
simple,A rock didn’t drive any field.
rel_clause,The rock that Mary saw didn’t drive any field.
adv_clause,"After the incident, a rock didn’t drive any field."
complex,"Although it was late, a rock didn’t drive any field."
simple,A point didn’t answer any career.
rel_clause,The point that Sarah saw didn’t answer any career.
adv_clause,"After the incident, a point didn’t answer any career."
complex,"Although it was late, a point didn’t answer any career."
simple,A home didn’t carry any side.
rel_clause,The home that David saw didn’t carry any side.
adv_clause,"After the incident, a home didn’t carry any side."
complex,"Although it was late, a home didn’t carry any side."
simple,A wife didn’t lose any force.
rel_clause,The wife that Alex saw didn’t lose any force.
adv_clause,"After the incident, a wife didn’t lose any force."
complex,"Although it was late, a wife didn’t lose any force."
simple,A level didn’t invite any death.
rel_clause,The level that Sarah saw didn’t invite any death.
adv_clause,"After the incident, a level didn’t invite any death."
complex,"Although it was late, a level didn’t invite any death."
simple,A room didn’t fix any championship.
rel_clause,The room that Sarah saw didn’t fix any championship.
adv_clause,"After the incident, a room didn’t fix any championship."
complex,"Although it was late, a room didn’t fix any championship."
simple,A age didn’t cross any record.
rel_clause,The age that Mary saw didn’t cross any record.
adv_clause,"After the incident, a age didn’t cross any record."
complex,"Although it was late, a age didn’t cross any record."
simple,A arm didn’t change any school.
rel_clause,The arm that David saw didn’t change any school.
adv_clause,"After the incident, a arm didn’t change any school."
complex,"Although it was late, a arm didn’t change any school."
simple,A hair didn’t promote any home.
rel_clause,The hair that Alex saw didn’t promote any home.
adv_clause,"After the incident, a hair didn’t promote any home."
complex,"Although it was late, a hair didn’t promote any home."
simple,A face didn’t change any mother.
rel_clause,The face that David saw didn’t change any mother.
adv_clause,"After the incident, a face didn’t change any mother."
complex,"Although it was late, a face didn’t change any mother."
simple,A death didn’t reach any director.
rel_clause,The death that Sarah saw didn’t reach any director.
adv_clause,"After the incident, a death didn’t reach any director."
complex,"Although it was late, a death didn’t reach any director."
simple,A arm didn’t adopt any number.
rel_clause,The arm that David saw didn’t adopt any number.
adv_clause,"After the incident, a arm didn’t adopt any number."
complex,"Although it was late, a arm didn’t adopt any number."
simple,A community didn’t reach any mind.
rel_clause,The community that Sarah saw didn’t reach any mind.
adv_clause,"After the incident, a community didn’t reach any mind."
complex,"Although it was late, a community didn’t reach any mind."
simple,A city didn’t own any development.
rel_clause,The city that David saw didn’t own any development.
adv_clause,"After the incident, a city didn’t own any development."
complex,"Although it was late, a city didn’t own any development."
simple,A place didn’t contain any state.
rel_clause,The place that David saw didn’t contain any state.
adv_clause,"After the incident, a place didn’t contain any state."
complex,"Although it was late, a place didn’t contain any state."
simple,A wife didn’t answer any production.
rel_clause,The wife that David saw didn’t answer any production.
adv_clause,"After the incident, a wife didn’t answer any production."
complex,"Although it was late, a wife didn’t answer any production."
simple,A heart didn’t control any world.
rel_clause,The heart that Mary saw didn’t control any world.
adv_clause,"After the incident, a heart didn’t control any world."
complex,"Although it was late, a heart didn’t control any world."
simple,A class didn’t take any member.
rel_clause,The class that David saw didn’t take any member.
adv_clause,"After the incident, a class didn’t take any member."
complex,"Although it was late, a class didn’t take any member."
simple,A law didn’t award any road.
rel_clause,The law that Mary saw didn’t award any road.
adv_clause,"After the incident, a law didn’t award any road."
complex,"Although it was late, a law didn’t award any road."
simple,A city didn’t provide any air.
rel_clause,The city that Sarah saw didn’t provide any air.
adv_clause,"After the incident, a city didn’t provide any air."
complex,"Although it was late, a city didn’t provide any air."
simple,A wife didn’t visit any heart.
rel_clause,The wife that John saw didn’t visit any heart.
adv_clause,"After the incident, a wife didn’t visit any heart."
complex,"Although it was late, a wife didn’t visit any heart."
simple,A office didn’t thank any member.
rel_clause,The office that John saw didn’t thank any member.
adv_clause,"After the incident, a office didn’t thank any member."
complex,"Although it was late, a office didn’t thank any member."
simple,A role didn’t give any director.
rel_clause,The role that Sarah saw didn’t give any director.
adv_clause,"After the incident, a role didn’t give any director."
complex,"Although it was late, a role didn’t give any director."
simple,A development didn’t occupy any season.
rel_clause,The development that David saw didn’t occupy any season.
adv_clause,"After the incident, a development didn’t occupy any season."
